epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.68554,0.61927,1,1,0.45205,0.000486208,0.000486208,0.000486208
2,3.33442,0.34811,1,1,0.12659,0.000990302,0.000990302,0.000990302
3,4.81123,0.13913,1,1,0.05164,0.00143939,0.00143939,0.00143939
4,6.35808,0.16342,1,1,0.01745,0.00141945,0.00141945,0.00141945
5,7.86202,0.12384,1,1,0.00487,0.00133693,0.00133693,0.00133693
6,9.52898,0.16391,1,1,0.00131,0.00125442,0.00125442,0.00125442
7,10.9363,0.02658,1,1,0.00048,0.0011719,0.0011719,0.0011719
8,12.4751,0.19817,1,1,0.00024,0.00108938,0.00108938,0.00108938
9,13.7234,0.21572,1,1,0.00016,0.00100687,0.00100687,0.00100687
10,14.9442,0.26136,1,1,0.00014,0.000924352,0.000924352,0.000924352
11,16.316,0.04992,1,1,0.0001,0.000841835,0.000841835,0.000841835
12,17.6649,0.01069,1,1,0.00012,0.000759318,0.000759318,0.000759318
13,18.9491,0.29743,1,1,0.00014,0.000676802,0.000676802,0.000676802
14,20.1109,0.04724,1,1,0.00019,0.000594286,0.000594286,0.000594286
15,21.2793,0.11541,1,1,0.00027,0.000511769,0.000511769,0.000511769
16,22.6723,0.16049,1,1,0.00024,0.000429253,0.000429253,0.000429253
17,23.8872,0.00196,1,1,0.00029,0.000346736,0.000346736,0.000346736
18,25.066,0.15394,1,1,0.00037,0.00026422,0.00026422,0.00026422
19,26.3797,0.00495,1,1,0.00029,0.000181703,0.000181703,0.000181703
20,27.6339,0.00301,1,1,0.00025,9.91865e-05,9.91865e-05,9.91865e-05
